IDfg,AVG+,OBP+,SLG+,BABIP+,BB%+,HardHit%,wFB,wSL,wCT,wCB,wCH,wSF,vs RHP,vs LHP
15640,134,148,178,129,233,0.609,48.4,18.8,6.2,1.3,5.2,5.9,0.326,0.311
25764,138,126,149,124,99,0.48100000000000004,28.1,20.3,4.1,1.3,-0.5,8.2,0.336,0.316
19755,125,124,160,114,134,0.595,31.7,14.2,1.1,9.2,8.2,8.2,0.322,0.288
20123,120,136,144,104,223,0.568,39.2,4.3,7.3,7.8,7.1,2.0,0.293,0.278
26289,117,118,134,112,134,0.539,8.5,13.3,7.1,8.7,5.5,0.5,0.291,0.257
12916,111,109,124,100,99,0.474,14.3,10.0,0.0,2.3,2.7,1.6,0.277,0.263
24617,119,111,125,121,90,0.43700000000000006,16.3,2.2,3.5,5.4,7.3,-0.9,0.298,0.255
13510,116,108,136,93,97,0.396,17.0,3.6,-4.0,7.5,8.6,-3.4,0.254,0.348
26668,105,107,117,122,120,0.457,21.4,3.1,1.1,-3.7,-0.4,0.0,0.275,0.224
13613,118,118,139,101,135,0.5329999999999999,28.6,3.7,4.0,7.4,3.1,-5.3,0.26,0.342
19611,135,128,138,120,127,0.5479999999999999,8.3,18.1,10.1,5.0,6.2,-0.6,0.327,0.308
16505,100,104,115,99,120,0.48200000000000004,8.5,5.0,-3.4,2.5,0.4,1.7,0.245,0.254
20503,114,116,115,112,139,0.49,13.6,0.0,-1.1,6.2,5.6,0.1,0.271,0.312
21534,92,101,110,88,137,0.48100000000000004,-0.1,3.8,2.5,-1.3,-0.5,-0.2,0.234,0.183
19556,128,127,144,111,134,0.49700000000000005,21.9,5.0,2.3,4.1,3.2,6.2,0.28,0.362
29490,118,103,124,108,59,0.439,9.3,7.0,1.6,0.8,2.4,2.3,0.311,0.24
11579,116,118,130,112,146,0.47200000000000003,10.5,0.3,4.2,1.8,8.3,4.0,0.277,0.301
19627,122,118,143,127,118,0.496,26.1,13.2,3.2,-0.6,0.3,-1.3,0.294,0.289
15986,102,105,114,100,131,0.405,-3.1,13.1,-1.2,1.1,6.0,-1.6,0.271,0.191
10324,122,120,135,122,131,0.5329999999999999,19.5,12.8,2.0,2.2,3.3,-1.7,0.297,0.319
13624,116,114,130,102,122,0.496,6.3,-0.5,7.4,5.1,4.3,-0.3,0.291,0.248
13611,117,118,122,99,143,0.39299999999999996,15.2,3.8,3.2,-0.2,-2.1,3.6,0.28,0.308
14162,129,126,131,120,134,0.445,9.6,8.8,0.2,3.9,3.9,-0.1,0.31,0.312
10815,113,121,114,102,138,0.442,2.9,9.4,1.6,1.4,7.1,4.7,0.273,0.3
18314,98,99,96,101,111,0.425,-4.0,-5.4,4.9,2.6,0.5,-0.2,0.222,0.318
27478,95,94,84,97,106,0.424,-4.3,-5.2,1.8,1.7,-3.0,-1.3,0.25,0.18
18345,120,132,148,99,203,0.44299999999999995,19.4,5.5,-1.9,2.2,5.0,-0.9,0.305,0.262
12533,99,100,99,88,110,0.35200000000000004,0.6,-4.7,0.1,0.0,4.6,-0.6,0.228,0.266
17350,114,115,131,113,137,0.523,11.2,7.0,-1.3,-0.1,2.8,1.5,0.293,0.24
24610,122,119,108,106,121,0.237,12.2,2.1,2.5,2.2,0.7,-1.3,0.28,0.319
17678,108,102,115,93,85,0.401,-1.3,6.1,-0.5,0.4,3.2,1.0,0.274,0.224
5361,114,120,118,104,148,0.41600000000000004,8.1,6.8,0.7,2.6,6.4,1.9,0.3,0.25
25976,109,113,121,115,135,0.462,12.9,2.1,8.6,-2.1,3.7,1.0,0.28,0.213
29591,101,104,113,111,114,0.452,3.0,1.7,5.1,5.0,-6.3,-2.4,0.249,0.224
20454,105,103,109,106,104,0.408,7.9,0.6,2.5,-2.6,5.5,-0.3,0.26,0.249
25878,94,102,106,87,130,0.406,4.9,-2.2,5.1,-0.2,6.6,1.6,0.236,0.219
16252,120,107,116,112,61,0.402,6.0,2.6,7.6,-0.2,1.2,0.9,0.292,0.303
28806,111,104,115,108,83,0.446,0.3,6.5,0.7,3.2,3.5,-0.1,0.278,0.267
5417,123,113,111,118,85,0.31,8.1,9.6,0.0,-1.2,1.6,-0.4,0.27,0.37
21479,111,106,92,100,83,0.27399999999999997,2.2,-1.0,2.6,-3.1,2.9,3.3,0.258,0.328
12552,104,101,116,104,93,0.424,9.5,-3.1,4.4,2.5,0.9,-0.6,0.256,0.256
23697,114,105,104,120,76,0.48200000000000004,13.1,1.0,0.3,1.6,-5.6,-0.4,0.275,0.268
14161,116,108,133,118,63,0.48100000000000004,12.0,4.3,0.6,1.0,-2.0,0.5,0.272,0.298
25479,105,101,111,107,93,0.409,-2.1,2.5,3.4,-2.0,3.5,0.0,0.262,0.257
24064,109,93,116,116,40,0.397,-10.1,8.3,-5.7,4.7,6.7,-1.6,0.273,0.259
30116,115,116,119,125,131,0.489,18.3,1.4,4.0,2.3,3.7,-3.6,0.286,0.274
11493,111,103,117,102,85,0.488,8.8,3.0,-2.8,-2.1,3.0,-2.3,0.28,0.256
17919,98,108,109,101,148,0.449,17.3,0.4,5.3,-1.0,-6.1,-0.5,0.244,0.238
27479,108,100,103,103,78,0.327,8.8,1.9,-1.8,0.8,0.4,-1.5,0.274,0.253
13066,110,108,124,116,99,0.467,6.6,3.5,-0.1,8.2,9.7,0.9,0.265,0.29
21618,113,105,111,103,80,0.451,1.5,7.6,-2.8,1.6,1.2,1.0,0.276,0.287
21711,105,103,111,117,103,0.5489999999999999,3.9,5.9,0.3,-4.9,2.1,0.9,0.271,0.224
31347,104,103,112,103,80,0.386,1.3,1.3,2.6,1.8,0.1,-1.4,0.218,0.374
16478,100,116,120,102,186,0.5489999999999999,19.0,12.3,-1.6,3.2,0.8,1.1,0.218,0.3
20036,98,111,99,90,145,0.271,2.8,-0.9,1.7,-1.8,1.3,1.8,0.218,0.295
27562,95,104,100,91,140,0.389,-0.6,1.2,1.2,-2.0,-1.5,4.4,0.236,0.197
27647,102,95,92,106,75,0.349,0.1,-6.4,-2.7,-0.1,-4.5,1.9,0.242,0.246
14551,98,100,128,79,107,0.414,-4.4,3.0,5.7,3.6,7.3,3.1,0.239,0.225
22542,109,103,124,105,96,0.474,-1.4,7.4,3.3,5.2,-1.5,-0.3,0.255,0.291
19918,89,95,103,92,115,0.33299999999999996,1.6,-2.0,-5.5,0.7,3.1,0.1,0.195,0.287
19709,112,108,122,107,89,0.5539999999999999,14.4,2.6,-1.2,0.3,-0.9,0.2,0.293,0.224
7304,113,107,116,106,83,0.442,3.6,4.3,-3.4,2.5,4.2,-0.7,0.263,0.297
24679,112,108,103,101,87,0.376,-2.2,4.8,4.1,0.1,6.8,3.2,0.286,0.259
18363,128,123,110,129,87,0.28600000000000003,11.0,0.0,3.2,1.3,-3.3,1.0,0.343,0.239
23772,106,104,116,114,110,0.498,5.3,-0.5,0.4,-1.4,4.5,-1.3,0.266,0.18
23003,125,105,112,118,48,0.469,5.7,8.1,1.9,-0.7,-7.1,0.1,0.297,0.306
26368,101,105,111,98,128,0.36200000000000004,11.6,-1.7,5.5,0.4,-3.4,-0.9,0.25,0.216
20391,114,101,110,105,62,0.41200000000000003,-4.2,5.5,0.7,-2.6,6.5,1.6,0.288,0.259
25493,97,104,98,96,133,0.382,-3.6,7.5,-0.6,-0.1,3.1,-1.1,0.246,0.22
9777,110,103,98,100,84,0.312,-2.4,-3.7,-1.3,6.2,0.8,-0.3,0.284,0.234
17338,103,107,98,110,99,0.361,0.4,5.3,2.7,2.1,-2.9,0.1,0.249,0.242
11477,128,129,125,124,154,0.465,10.9,7.8,-1.7,3.1,1.1,0.2,0.311,0.322
11899,111,125,127,109,149,0.45399999999999996,10.5,5.5,7.5,4.4,-0.3,2.9,0.281,0.219
26208,114,106,123,129,78,0.314,14.0,5.2,-1.6,-2.1,0.4,-1.6,0.261,0.318
13419,101,106,116,97,121,0.48,3.0,-3.0,0.5,4.1,6.0,-1.3,0.24,0.275
17988,105,107,110,104,113,0.439,6.0,4.7,0.4,2.5,-0.7,0.2,0.263,0.244
21622,115,111,99,111,76,0.245,7.1,5.8,-0.7,2.0,-4.1,0.1,0.286,0.284
2396,99,106,107,88,135,0.39899999999999997,-1.0,-0.7,2.4,1.8,4.6,-1.1,0.219,0.286
22184,108,102,128,110,88,0.466,15.7,1.3,0.2,-1.7,5.2,-1.8,0.251,0.3
33333,105,105,105,104,113,0.434,-2.9,-0.1,0.8,1.8,4.4,0.8,0.255,0.242
27815,110,101,122,107,61,0.461,9.7,-1.9,1.0,0.4,0.7,0.3,0.275,0.23
19566,111,117,102,113,155,0.395,11.9,3.6,-3.9,1.5,-1.2,0.2,0.257,0.292
21523,100,113,97,99,152,0.36200000000000004,1.7,-1.5,5.1,2.1,2.1,-0.4,0.237,0.277
7802,115,107,102,102,83,0.27399999999999997,2.5,2.2,0.5,-1.5,-1.6,0.2,0.296,0.26
26396,108,109,100,109,96,0.369,2.4,5.3,-1.1,0.2,0.0,1.5,0.249,0.286
26288,104,103,99,95,112,0.364,3.0,-3.0,-0.6,1.5,1.7,-1.8,0.219,0.329
21636,111,100,100,105,47,0.38799999999999996,-3.8,-5.4,-0.3,5.0,0.1,0.6,0.252,0.306
22581,106,103,91,97,112,0.406,-1.7,3.2,-2.4,-2.7,-0.9,1.0,0.262,0.228
19950,105,97,86,100,51,0.285,-4.3,-7.0,-2.9,0.5,3.7,-0.7,0.257,0.239
19197,100,104,107,92,114,0.409,7.0,0.7,1.2,-0.5,-1.0,-0.3,0.244,0.258
17548,103,105,108,103,117,0.42100000000000004,12.0,-6.2,-2.2,-1.4,5.5,0.5,0.226,0.325
12927,91,104,99,90,141,0.474,2.2,1.3,1.3,1.8,4.2,-3.3,0.215,0.248
27769,96,91,95,99,62,0.368,-4.2,-5.5,2.6,2.1,-1.0,0.9,0.232,0.253
11609,106,120,116,114,153,0.46799999999999997,17.9,-5.7,-0.3,-1.7,1.7,0.9,0.261,0.267
14344,100,106,113,99,126,0.474,8.1,0.6,1.0,-1.5,0.8,3.4,0.24,0.263
21558,107,101,107,106,89,0.39799999999999996,-4.8,2.3,2.9,5.9,-0.8,-0.4,0.25,0.275
27506,94,105,92,88,150,0.354,-6.0,0.2,1.9,1.2,1.4,-0.1,0.228,0.248
29931,104,100,82,108,70,0.289,-3.4,-3.0,-2.0,1.4,-1.6,-1.8,0.245,0.283
15711,100,109,130,107,138,0.484,10.8,4.2,0.6,0.9,-0.9,-2.7,0.208,0.312
10231,137,121,111,129,50,0.306,5.0,2.1,-1.1,3.3,1.3,0.5,0.303,0.402
22664,108,112,94,102,142,0.41,-3.0,5.8,0.2,0.7,-0.8,-0.4,0.246,0.302
19608,110,99,93,108,70,0.384,-3.8,0.2,1.9,5.0,-1.8,-1.4,0.289,0.231
22186,103,100,86,102,98,0.294,-0.4,0.9,-0.8,-0.6,-3.5,-2.9,0.259,0.237
25961,119,112,149,115,91,0.451,10.6,1.9,1.2,-0.9,2.0,3.7,0.305,0.107
13301,94,114,122,90,186,0.434,10.6,1.3,0.2,0.9,1.0,-0.8,0.254,0.172
18360,104,102,114,105,96,0.534,2.9,3.9,1.3,-0.2,4.3,-0.4,0.263,0.235
20202,101,104,104,118,127,0.474,4.6,-4.0,1.5,0.7,6.6,0.2,0.262,0.192
18042,84,104,93,93,148,0.363,-1.6,-2.5,1.1,-2.1,3.2,-0.4,0.183,0.229
22515,109,102,116,111,87,0.474,5.5,1.8,-1.1,2.3,3.8,-0.6,0.24,0.37
19354,101,104,117,107,73,0.418,18.5,-7.3,2.0,1.5,-0.7,-1.6,0.255,0.189
18839,102,103,116,86,113,0.408,5.4,1.1,-0.4,1.7,1.1,-1.7,0.251,0.224
26319,100,106,109,109,135,0.39899999999999997,3.5,5.6,1.4,1.0,2.3,-2.2,0.246,0.258
17929,98,99,103,91,101,0.327,-1.5,-2.4,5.3,0.7,1.0,1.8,0.245,0.196
22266,133,126,105,135,132,0.239,10.0,0.5,1.6,1.5,2.0,-0.3,0.341,0.3
18882,102,101,120,101,96,0.447,8.9,-0.6,1.4,2.5,-2.3,-2.1,0.24,0.265
19238,113,102,108,106,64,0.39799999999999996,5.3,-3.0,0.8,-1.7,0.1,-0.5,0.254,0.331
15998,108,103,106,97,96,0.324,5.9,-2.2,0.1,0.1,5.0,-1.4,0.251,0.298
20352,110,92,103,93,30,0.247,-4.4,3.1,-1.8,1.4,-0.3,0.4,0.278,0.23
19452,82,83,89,88,80,0.413,-9.3,-2.0,-0.8,0.7,-2.1,1.0,0.207,0.169
26466,108,120,133,136,113,0.532,3.8,2.6,3.5,1.3,2.8,0.3,0.275,0.184
20599,122,118,106,125,117,0.419,3.5,2.3,0.0,-0.6,3.9,0.6,0.323,0.257
19326,111,109,111,112,100,0.452,16.4,-2.0,3.4,-1.1,5.2,1.4,0.279,0.266
19251,97,104,114,93,122,0.45899999999999996,12.6,-4.5,-0.2,-0.1,4.1,3.0,0.241,0.237
23800,102,100,110,107,103,0.311,5.2,-0.1,-1.5,0.9,-0.1,0.5,0.239,0.263
18036,98,103,97,93,113,0.365,-8.9,4.0,-5.0,4.3,4.4,3.6,0.255,0.203
24729,102,98,104,111,78,0.46299999999999997,-4.1,3.3,-0.6,3.0,0.2,-2.0,0.264,0.167
16512,111,98,95,106,40,0.29100000000000004,-6.2,0.8,-1.4,1.8,-1.8,-0.9,0.282,0.234
11739,108,102,106,111,79,0.45899999999999996,4.9,1.8,-2.8,4.5,-0.6,-2.0,0.257,0.286
25816,93,93,114,88,95,0.44,-11.3,6.2,-3.1,2.7,2.0,2.2,0.226,0.219
25931,107,96,104,102,59,0.47,-2.1,0.9,1.4,5.6,-0.1,0.1,0.253,0.286
22799,111,109,93,107,113,0.258,5.9,-5.9,1.8,1.0,1.7,-0.4,0.252,0.318
12161,107,97,94,100,73,0.33,-5.4,2.7,0.7,-1.3,-0.4,-0.4,0.275,0.223
20308,91,93,91,92,84,0.368,-4.5,-9.4,-2.5,-0.1,1.8,-0.6,0.207,0.25
26477,111,116,110,105,136,0.363,1.7,2.5,0.2,6.2,-0.2,0.2,0.285,0.194
16578,117,111,105,110,99,0.485,4.0,6.7,-1.1,-0.1,0.3,4.1,0.261,0.346
25768,100,100,107,96,81,0.40399999999999997,17.4,-4.8,2.2,-0.7,-2.8,-2.1,0.223,0.293
14968,112,109,103,109,103,0.431,3.4,-2.7,3.0,0.7,-1.7,0.6,0.25,0.333
17022,104,99,104,108,58,0.406,8.3,-2.7,-2.5,-0.5,-0.4,0.9,0.236,0.284
15112,98,103,98,108,130,0.49,-4.5,9.9,-1.9,-3.4,1.5,0.5,0.233,0.261
19290,91,107,98,96,139,0.435,-4.6,8.4,1.2,-0.3,2.1,-0.5,0.214,0.232
26121,96,97,100,99,106,0.42,3.1,-5.6,4.9,-2.7,1.0,0.0,0.236,0.239
21840,113,103,93,112,77,0.33899999999999997,-11.0,4.5,1.1,0.0,1.3,0.0,0.261,0.294
